ticker,assignee_query
NVDA,NVIDIA Corporation
AMD,Advanced Micro Devices
AVGO,Broadcom
INTC,Intel Corporation
CSCO,Cisco Technology
MSFT,Microsoft Technology Licensing
MRVL,Marvell Technology
ANET,Arista Networks
SMCI,Super Micro Computer
DELL,Dell Products
ORCL,Oracle International Corporation
GOOGL,Google LLC
META,Meta Platforms
AMZN,Amazon Technologies
IBM,International Business Machines Corporation
HPE,Hewlett Packard Enterprise
SNPS,Synopsys
CDNS,Cadence Design Systems
LRCX,Lam Research Corporation
AMAT,Applied Materials
KLAC,KLA Corporation
ASML,ASML
TSM,Taiwan Semiconductor Manufacturing
TXN,Texas Instruments Incorporated
MU,Micron Technology
VRT,Vertiv Corporation
RKLB,Rocket Lab
LMT,Lockheed Martin Corporation
NOC,Northrop Grumman
LHX,L3Harris Technologies
RTX,RTX Corporation
BA,The Boeing Company
GD,General Dynamics Corporation
HII,Huntington Ingalls
TDG,TransDigm
KTOS,Kratos Defense
IRDM,Iridium Communications
LDOS,Leidos
CACI,CACI International
SAIC,Science Applications International Corporation
HWM,Howmet Aerospace
ERIC,Telefonaktiebolaget LM Ericsson
NOK,Nokia Technologies Oy
QCOM,Qualcomm
TMUS,T-Mobile USA
VZ,Verizon Patent and Licensing
T,AT&T Intellectual Property
CMCSA,Comcast Cable Communications
JNPR,Juniper Networks
CIEN,Ciena Corporation
COMM,CommScope Technologies
VIAV,Viavi Solutions
LITE,Lumentum Operations
SATS,Hughes Network Systems
IDCC,InterDigital
LUMN,Lumen Technologies
